secciones_en_catalogo: 59
1   40x40-12N8	40.000     40.00   200.00   4200.00   12
    5.067075    15.0      15.0
    5.067075    15.0       5.0
    5.067075    15.0     -15.0
    5.067075    15.0      -5.0
    5.067075     5.0      15.0
    5.067075     5.0     -15.0
    5.067075    -5.0      15.0
    5.067075    -5.0     -15.0
    5.067075   -15.0      15.0
    5.067075   -15.0       5.0
    5.067075   -15.0     -15.0
    5.067075   -15.0      -5.0
2	50x30-10N8	50.000     30.00   200.00   4200.00   10
    5.067075    20.0      10.0
    5.067075    20.0      3.333333
    5.067075    20.0     -10.0
    5.067075    20.0      -3.33333
    5.067075   -20.0      10.0
    5.067075   -20.0       3.33333
    5.067075   -20.0     -10.0
    5.067075   -20.0      -3.33333
    5.067075     0.0      10.0
    5.067075     0.0     -10.0
	2.87	-16.667	-25			
	2.87	-8.333	-25			
	2.87	0	-25			
	2.87	8.333	-25			
	2.87	16.667	-25			
	2.87	25	-25			
	2.87	-25	-16.667			
	2.87	-25	-8.333			
	2.87	-25	0			
	2.87	-25	8.333			
	2.87	-25	16.667			
	2.87	25	-16.667			
	2.87	25	-8.333			
	2.87	25	0			
	2.87	25	8.333			
	2.87	25	16.667			
45	60x60-4N8	60	60	280	4200	4
	5.07	-25	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	25	-25			
46	60x60-8N8	60	60	280	4200	8
	5.07	-25	25			
	5.07	0	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	0	-25			
	5.07	25	-25			
	5.07	-25	0			
	5.07	25	0			
47	60x60-12N8	60	60	280	4200	12
	5.07	-25	25			
	5.07	-8.333	25			
	5.07	8.333	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	-8.333	-25			
	5.07	8.333	-25			
	5.07	25	-25			
	5.07	-25	-8.333			
	5.07	-25	8.333			
	5.07	25	-8.333			
	5.07	25	8.333			
48	60x60-16N8	60	60	280	4200	16
	5.07	-25	25			
	5.07	-12.5	25			
	5.07	0	25			
	5.07	12.5	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	-12.5	-25			
	5.07	0	-25			
	5.07	12.5	-25			
	5.07	25	-25			
	5.07	-25	-12.5			
	5.07	-25	0			
	5.07	-25	12.5			
	5.07	25	-12.5			
	5.07	25	0			
	5.07	25	12.5			
49	60x60-20N8	60	60	280	4200	20
	5.07	-25	25			
	5.07	-15	25			
	5.07	-5	25			
	5.07	5	25			
	5.07	15	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	-15	-25			
	5.07	-5	-25			
	5.07	5	-25			
	5.07	15	-25			
	5.07	25	-25			
	5.07	-25	-15			
	5.07	-25	-5			
	5.07	-25	5			
	5.07	-25	15			
	5.07	25	-15			
	5.07	25	-5			
	5.07	25	5			
	5.07	25	15			
50	60x60-24N8	60	60	280	4200	24
	5.07	-25	25			
	5.07	-16.667	25			
	5.07	-8.333	25			
	5.07	0	25			
	5.07	8.333	25			
	5.07	16.667	25			
	5.07	25	25			
	5.07	-25	-25			
	5.07	-16.667	-25			
	5.07	-8.333	-25			
	5.07	0	-25			
	5.07	8.333	-25			
	5.07	16.667	-25			
	5.07	25	-25			
	5.07	-25	-16.667			
	5.07	-25	-8.333			
	5.07	-25	0			
	5.07	-25	8.333			
	5.07	-25	16.667			
	5.07	25	-16.667			
	5.07	25	-8.333			
	5.07	25	0			
	5.07	25	8.333			
	5.07	25	16.667			
51	70x70-28N3	70	70	280	4200	28
	0.71	-30	30			
	0.71	-21.429	30			
	0.71	-12.857	30			
	0.71	-4.286	30			
	0.71	4.286	30			
	0.71	12.857	30			
	0.71	21.429	30			
	0.71	30	30			
	0.71	-30	-30			
	0.71	-21.429	-30			
	0.71	-12.857	-30			
	0.71	-4.286	-30			
	0.71	4.286	-30			
	0.71	12.857	-30			
	0.71	21.429	-30			
	0.71	30	-30			
	0.71	-30	-21.429			
	0.71	-30	-12.857			
	0.71	-30	-4.286			
	0.71	-30	4.286			
	0.71	-30	12.857			
	0.71	-30	21.429			
	0.71	30	-21.429			
	0.71	30	-12.857			
	0.71	30	-4.286			
	0.71	30	4.286			
	0.71	30	12.857			
	0.71	30	21.429			
52	70x70-16N4	70	70	280	4200	16
	1.27	-30	30			
	1.27	-15	30			
	1.27	0	30			
	1.27	15	30			
	1.27	30	30			
	1.27	-30	-30			
	1.27	-15	-30			
	1.27	0	-30			
	1.27	15	-30			
	1.27	30	-30			
	1.27	-30	-15			
	1.27	-30	0			
	1.27	-30	15			
	1.27	30	-15			
	1.27	30	0			
	1.27	30	15			
53	70x70-20N4	70	70	280	4200	20
	1.27	-30	30			
	1.27	-18	30			
	1.27	-6	30			
	1.27	6	30			
	1.27	18	30			
	1.27	30	30			
	1.27	-30	-30			
	1.27	-18	-30			
	1.27	-6	-30			
	1.27	6	-30			
	1.27	18	-30			
	1.27	30	-30			
	1.27	-30	-18			
	1.27	-30	-6			
	1.27	-30	6			
	1.27	-30	18			
	1.27	30	-18			
	1.27	30	-6			
	1.27	30	6			
	1.27	30	18			
54	70x70-24N4	70	70	280	4200	24
	1.27	-30	30			
	1.27	-20	30			
	1.27	-10	30			
	1.27	0	30			
	1.27	10	30			
	1.27	20	30			
	1.27	30	30			
	1.27	-30	-30			
	1.27	-20	-30			
	1.27	-10	-30			
	1.27	0	-30			
	1.27	10	-30			
	1.27	20	-30			
	1.27	30	-30			
	1.27	-30	-20			
	1.27	-30	-10			
	1.27	-30	0			
	1.27	-30	10			
	1.27	-30	20			
	1.27	30	-20			
	1.27	30	-10			
	1.27	30	0			
	1.27	30	10			
	1.27	30	20			
55	70x70-28N4	70	70	280	4200	28
	1.27	-30	30			
	1.27	-21.429	30			
	1.27	-12.857	30			
	1.27	-4.286	30			
	1.27	4.286	30			
	1.27	12.857	30			
	1.27	21.429	30			
	1.27	30	30			
	1.27	-30	-30			
	1.27	-21.429	-30			
	1.27	-12.857	-30			
	1.27	-4.286	-30			
	1.27	4.286	-30			
	1.27	12.857	-30			
	1.27	21.429	-30			
	1.27	30	-30			
	1.27	-30	-21.429			
	1.27	-30	-12.857			
	1.27	-30	-4.286			
	1.27	-30	4.286			
	1.27	-30	12.857			
	1.27	-30	21.429			
	1.27	30	-21.429			
	1.27	30	-12.857			
	1.27	30	-4.286			
	1.27	30	4.286			
	1.27	30	12.857			
	1.27	30	21.429			
56	70x70-8N6	70	70	280	4200	8
	2.87	-30	30			
	2.87	0	30			
	2.87	30	30			
	2.87	-30	-30			
	2.87	0	-30			
	2.87	30	-30			
	2.87	-30	0			
	2.87	30	0			
57	70x70-12N6	70	70	280	4200	12
	2.87	-30	30			
	2.87	-10	30			
	2.87	10	30			
	2.87	30	30			
	2.87	-30	-30			
	2.87	-10	-30			
	2.87	10	-30			
	2.87	30	-30			
	2.87	-30	-10			
	2.87	-30	10			
	2.87	30	-10			
	2.87	30	10			
58	70x70-16N6	70	70	280	4200	16
	2.87	-30	30			
	2.87	-15	30			
	2.87	0	30			
	2.87	15	30			
	2.87	30	30			
	2.87	-30	-30			
	2.87	-15	-30			
	2.87	0	-30			
	2.87	15	-30			
	2.87	30	-30			
	2.87	-30	-15			
	2.87	-30	0			
	2.87	-30	15			
	2.87	30	-15			
	2.87	30	0			
	2.87	30	15			
59	70x70-20N6	70	70	280	4200	20
	2.87	-30	30			
	2.87	-18	30			
	2.87	-6	30			
	2.87	6	30			
	2.87	18	30			
	2.87	30	30			
	2.87	-30	-30			
	2.87	-18	-30			
	2.87	-6	-30			
	2.87	6	-30			
	2.87	18	-30			
	2.87	30	-30			
	2.87	-30	-18			
	2.87	-30	-6			
	2.87	-30	6			
	2.87	-30	18			
	2.87	30	-18			
	2.87	30	-6			
	2.87	30	6			
	2.87	30	18			
